epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.22272,1.06143,2.64214,1.54426,0.90682,1,0.995,0.76208,0.77929,7.40306,1.386,0.00012,0.00012,0.00012
2,3.97697,0.99807,1.73051,1.51365,0.89952,1,0.98591,0.7777,0.78846,4.1165,1.39956,0.00025142,0.00025142,0.00025142
3,5.58605,1.00644,1.48953,1.3978,0.95757,0.8,0.87573,0.69436,0.86463,2.66531,1.42436,0.0003736,0.0003736,0.0003736
4,7.15018,1.10561,1.54167,1.56217,0.98654,1,0.995,0.57504,1.16055,3.64178,2.01438,0.00048654,0.00048654,0.00048654
5,8.68215,0.91591,1.18881,1.35009,0.82941,0.97411,0.95833,0.67309,1.10237,3.24952,1.80166,0.00059024,0.00059024,0.00059024
6,10.3004,1.05287,1.12083,1.36191,0.79228,0.8,0.92305,0.54541,1.38993,2.52961,1.84941,0.0006847,0.0006847,0.0006847
7,11.8422,0.93517,1.11756,1.33255,0.86456,0.64153,0.81896,0.38538,2.00589,2.43364,2.4813,0.00076992,0.00076992,0.00076992
8,13.3986,0.93496,1.0301,1.383,0.98563,1,0.995,0.6234,1.10697,1.57174,1.79812,0.0008459,0.0008459,0.0008459
9,14.9548,0.97128,0.96922,1.40747,0.67846,1,0.94045,0.49061,1.23655,3.97011,2.06262,0.00091264,0.00091264,0.00091264
10,16.5012,1.01516,0.91144,1.34222,0.88504,1,0.995,0.63901,0.97702,3.66481,1.72621,0.00097014,0.00097014,0.00097014
11,18.0551,1.07576,0.95762,1.42083,0.77753,0.9,0.96643,0.71758,0.87397,2.37232,1.52279,0.0010184,0.0010184,0.0010184
12,19.6059,0.93335,0.80197,1.31432,0.88371,0.9,0.935,0.66058,1.03589,1.88544,1.78614,0.00105742,0.00105742,0.00105742
13,21.1728,1.01261,0.78948,1.47989,0.98256,0.9,0.94045,0.62622,1.15031,1.32689,1.91407,0.0010872,0.0010872,0.0010872
14,22.7002,1.08226,0.86978,1.44388,0.98256,0.9,0.94045,0.62622,1.15031,1.32689,1.91407,0.00110774,0.00110774,0.00110774
15,24.286,1.00722,0.91482,1.42745,0.74144,0.9,0.71268,0.44871,1.27428,1.34601,1.88595,0.001076,0.001076,0.001076
16,25.7947,0.93361,0.73541,1.29135,0.52783,0.7,0.55031,0.36736,1.16752,1.31853,1.73302,0.00101,0.00101,0.00101
17,27.3181,1.36727,1.38881,1.85099,0.97135,0.8,0.85615,0.48315,1.42317,1.33291,2.01369,0.000944,0.000944,0.000944
18,28.836,1.02417,0.79685,1.39802,0.87611,0.9,0.95833,0.61019,1.08771,0.90922,1.71307,0.000878,0.000878,0.000878
19,30.3915,0.93645,0.88767,1.31709,0.90731,0.98044,0.97682,0.69231,0.93936,0.8681,1.69122,0.000812,0.000812,0.000812
20,31.9134,0.89878,0.77214,1.25977,0.81685,0.9,0.94192,0.69536,0.88883,1.32878,1.57415,0.000746,0.000746,0.000746
21,33.6613,1.00208,1.0663,1.49696,0.76345,1,0.87452,0.6793,0.82096,1.27939,1.44958,0.00068,0.00068,0.00068
22,35.1899,0.86188,1.04111,1.33461,0.76345,1,0.87452,0.6793,0.82096,1.27939,1.44958,0.000614,0.000614,0.000614
23,36.7361,0.77518,0.69257,1.32586,0.99352,1,0.995,0.78372,0.74154,0.74614,1.3538,0.000548,0.000548,0.000548
24,38.2429,0.67574,0.62298,1.22474,0.9947,1,0.995,0.82385,0.69376,0.59405,1.23176,0.000482,0.000482,0.000482
25,39.7835,0.75616,0.71059,1.34709,0.99397,1,0.995,0.86065,0.63194,0.58228,1.18052,0.000416,0.000416,0.000416
26,41.3364,0.71354,0.61985,1.2727,0.99475,1,0.995,0.88552,0.61075,0.53384,1.14669,0.00035,0.00035,0.00035
27,42.9106,0.61763,0.55396,1.21748,0.99487,1,0.995,0.89664,0.58584,0.5265,1.1069,0.000284,0.000284,0.000284
28,44.4884,0.67191,0.56438,1.23462,0.99504,1,0.995,0.89934,0.54586,0.49475,1.07576,0.000218,0.000218,0.000218
29,46.0549,0.56625,0.49372,1.1391,0.99497,1,0.995,0.89598,0.51669,0.44305,1.03958,0.000152,0.000152,0.000152
30,47.5321,0.60631,0.5157,1.24659,0.99497,1,0.995,0.89598,0.51669,0.44305,1.03958,8.6e-05,8.6e-05,8.6e-05
